Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,88.235741,88.961960,86.420189,86.801460,85.116127,683131
2017-10-27,87.327965,87.672920,84.786194,85.657661,83.994537,564589
2017-10-30,86.420189,87.327965,85.766594,86.765144,85.080513,380559
2017-10-31,87.691078,87.691078,86.166016,87.110100,85.418770,538437
2017-11-01,87.872635,88.635162,86.783302,88.054184,86.344528,344380
2017-11-02,87.800011,92.538597,87.219032,90.904602,89.139603,1453639
2017-11-03,91.558197,92.847237,89.107208,90.232849,88.480896,830858
2017-11-06,90.759354,91.122467,88.907494,90.214691,88.463089,842843
2017-11-07,90.777512,92.229950,87.164566,88.344673,86.629372,1319520
2017-11-08,88.816719,88.816719,85.349014,86.692528,85.009308,513067
2017-11-09,86.783302,87.309814,84.295998,84.749886,83.104385,401718
2017-11-10,83.878426,84.876976,82.444138,82.988800,81.377487,394307
2017-11-13,83.152199,86.402039,83.152199,85.094841,83.442635,614543
2017-11-14,84.967751,86.365723,83.932884,85.421638,83.763100,1059904
2017-11-15,85.385330,86.638062,82.625694,83.097733,81.484306,291966
2017-11-16,82.970650,83.515312,80.719360,82.008408,80.416130,474646
2017-11-17,82.189957,83.043266,80.428879,81.445587,79.864243,489576
2017-11-20,80.991699,84.532021,80.991699,83.751335,82.125221,326785
2017-11-21,84.913284,87.146416,83.696869,84.913284,83.264610,1314896
2017-11-22,84.913284,85.221931,83.006958,83.478996,81.858162,2177064
2017-11-23,84.967751,88.780411,82.680161,83.315598,81.697952,5374629
2017-11-24,83.515312,91.485580,82.044716,83.696869,82.071823,6433944
2017-11-27,83.805801,87.146416,81.881317,85.457947,83.798706,1460661
2017-11-28,86.420189,89.869736,85.730286,87.999718,86.291115,1292723
2017-11-29,87.509521,88.961960,86.111549,87.545830,85.846046,617581
2017-11-30,86.819611,88.272057,85.439796,87.509521,85.810440,729979
2017-12-01,88.471764,88.834877,85.330864,86.147858,84.475212,457318
2017-12-04,86.928543,88.961960,85.621353,87.854477,86.148697,531679
2017-12-05,87.818169,89.688179,86.438347,88.907494,87.181267,567984
2017-12-06,89.615562,89.615562,87.037476,87.636612,85.935059,331122
2017-12-07,87.509521,88.961960,86.256790,87.781853,86.077484,527815
2017-12-08,88.235741,89.688179,87.563988,88.489922,86.771805,593266
2017-12-11,89.688179,89.688179,87.872635,88.380989,86.664978,261917
2017-12-12,88.380989,89.579247,87.545830,88.036034,86.326729,244925
2017-12-13,87.545830,88.453606,86.420189,87.055634,85.365372,150103
2017-12-14,86.837769,87.509521,84.931442,85.766594,84.101349,406714
2017-12-15,87.872635,87.872635,86.456505,87.164566,85.472183,438674
2017-12-18,87.146416,87.781853,82.444138,87.164566,85.472183,336187
2017-12-19,87.509521,89.688179,87.164566,88.399139,86.682777,1613147
2017-12-20,88.961960,89.143517,87.872635,88.253899,86.540367,746054
2017-12-21,88.453606,89.052742,85.875526,86.710678,85.027100,1701365
2017-12-22,88.235741,89.234299,87.872635,88.871185,87.145660,1230643
2017-12-26,89.234299,91.467422,88.961960,90.414398,88.658913,1095582
2017-12-27,90.777512,95.842896,90.414398,93.809479,91.988075,4552140
2017-12-28,95.861053,96.224159,93.718704,94.463081,92.628990,1813992
2017-12-29,95.134834,95.134834,92.048401,93.083260,91.275955,1009793
2018-01-01,93.137726,96.187851,92.792770,93.282974,91.471802,684357
2018-01-02,93.682396,94.335991,90.414398,91.249557,89.477859,598110
2018-01-03,91.830528,92.193642,90.051292,91.068001,89.299828,556404
2018-01-04,91.122467,92.593063,89.869736,90.577805,88.819153,545159
2018-01-05,91.122467,93.246658,89.869736,90.595955,88.836952,869772
2018-01-08,91.467422,91.467422,90.414398,90.723045,88.961571,1914237
2018-01-09,90.450714,91.975777,89.778961,90.686737,88.925964,456486
2018-01-10,90.595955,91.685287,88.961960,90.359940,88.605507,601812
2018-01-11,90.359940,94.408615,89.978668,93.500839,91.685432,1424895
2018-01-12,94.408615,98.911179,93.555305,97.440582,95.548683,5071547
2018-01-15,98.166801,99.492157,96.260475,97.731071,95.833527,1565216
2018-01-16,98.402824,99.020111,94.644638,95.697655,93.839584,1035385
2018-01-17,95.497940,95.497940,91.703445,92.266266,90.474831,1661735
2018-01-18,92.956177,93.155884,89.034584,89.760803,88.018013,1773002
2018-01-19,90.795670,91.721596,88.090500,90.759354,88.997169,4043581
2018-01-22,91.648979,93.337440,89.887894,90.850136,89.086189,1324975
2018-01-23,91.503731,92.229950,90.414398,91.721596,89.940735,1339753
2018-01-24,92.048401,92.048401,88.272057,89.216141,87.483917,1021960
2018-01-25,89.216141,90.487022,87.382431,88.108650,86.397934,756415
2018-01-29,88.943810,89.252449,86.837769,88.181274,86.469154,774497
2018-01-30,88.925652,88.925652,85.893684,87.037476,85.347565,1291729
2018-01-31,86.311256,87.001167,84.350464,85.040375,83.389236,854561
2018-02-01,85.548729,88.380989,83.533470,85.094841,83.442635,2225628
2018-02-02,85.294548,85.294548,78.667793,81.500053,79.917641,2897405
2018-02-05,81.699760,87.872635,80.247322,84.259689,82.623703,1819621
2018-02-06,81.681602,84.205223,80.610428,82.643845,81.039230,1886480
2018-02-07,84.967751,86.293106,83.152199,85.349014,83.691879,439858
2018-02-08,86.057083,87.327965,85.349014,86.692528,85.009308,481644
2018-02-09,85.330864,87.509521,84.132599,86.510971,84.831276,227195
2018-02-12,87.872635,88.925652,86.819611,88.417297,86.700592,281834
2018-02-14,88.108650,88.961960,87.182724,87.999718,86.291115,562352
2018-02-15,88.362831,88.762253,85.439796,86.057083,84.386200,499735
2018-02-16,85.893684,86.601746,83.152199,83.932884,82.303246,628936
2018-02-19,83.951042,86.365723,82.407829,85.131149,83.478241,319280
2018-02-20,85.693970,85.693970,82.970650,83.497154,81.875969,452419
2018-02-21,83.551620,85.639503,82.298897,84.768044,83.122192,291030
2018-02-22,84.604645,85.294548,83.079582,84.187065,82.552498,354724
2018-02-23,83.878426,86.928543,83.351913,85.802902,84.136963,661008
2018-02-26,86.583588,90.051292,85.385330,89.143517,87.412704,1203233
2018-02-27,90.051292,90.414398,86.692528,88.054184,86.344528,1804276
2018-02-28,87.509521,88.943810,86.256790,88.181274,86.469154,415177
2018-03-01,88.054184,88.054184,87.146416,87.636612,85.935059,289110
2018-03-05,89.688179,96.550964,88.235741,93.137726,91.329369,7015638
2018-03-06,93.301125,94.590172,91.630821,92.974327,91.169136,3261385
2018-03-07,93.101418,93.537148,90.813828,93.046951,91.240356,1459565
2018-03-08,93.264816,95.080368,92.229950,93.718704,91.899063,1043452
2018-03-09,94.190750,95.643188,92.956177,94.317833,92.486565,974354
2018-03-12,95.116676,95.497940,92.956177,94.971436,93.127472,458960
2018-03-13,95.497940,96.224159,94.045502,95.134834,93.287704,905808
2018-03-14,95.134834,98.911179,94.408615,97.331650,95.441856,3113130
2018-03-15,97.967094,105.973671,97.549515,99.964195,98.023293,5554440
2018-03-16,100.690414,103.123253,98.838554,99.437691,97.507011,1515077
2018-03-19,100.563332,100.563332,97.023003,97.404274,95.513077,705166
2018-03-20,96.405716,100.036819,95.933678,97.277184,95.388443,863672
2018-03-21,98.729622,101.253235,96.296783,98.239426,96.332016,1130940
2018-03-22,98.874870,99.256134,95.334541,97.458740,95.566490,1038205
2018-03-23,95.516098,97.967094,94.771721,97.567673,95.673302,617462
2018-03-26,97.567673,100.835663,96.296783,99.437691,97.507011,696879
2018-03-27,99.927887,102.215477,99.927887,101.688972,99.714592,649871
2018-03-28,101.652657,105.410851,99.673706,102.651215,100.658134,2116518
2018-04-02,101.561882,105.301918,101.525574,104.085495,102.064575,1138398
2018-04-03,103.123253,103.377434,100.436241,100.672264,98.717613,2202739
2018-04-04,101.289551,101.289551,97.603981,98.094177,96.189583,880127
2018-04-05,99.092735,102.179169,98.112335,100.018661,98.076698,1340455
2018-04-06,100.254684,101.743439,100.254684,101.634506,99.661179,510272
2018-04-09,101.652657,102.705681,100.617798,101.779747,99.803589,466092
2018-04-10,101.017220,101.816055,99.582932,100.527016,98.575180,1848150
2018-04-11,100.073128,100.726730,98.221268,99.129044,97.204361,833656
2018-04-12,98.784088,99.946037,98.221268,98.366516,96.456635,994155
2018-04-13,98.548065,99.001953,98.148643,98.384666,96.474434,533818
2018-04-16,98.112335,99.710022,97.840004,98.039711,96.136177,2057938
2018-04-17,98.112335,98.638847,96.587273,98.003403,96.100578,807890
2018-04-18,99.673706,101.852371,99.165352,100.418083,98.468369,2813940
2018-04-19,101.598190,102.578590,100.218376,100.835663,98.877846,973159
2018-04-20,101.307701,101.779747,99.891579,101.035370,99.073662,988336
2018-04-23,101.398483,105.556091,101.380325,103.014320,101.014191,6142787
2018-04-24,108.569908,110.022346,99.946037,100.617798,98.664207,9751531
2018-04-25,101.180618,104.575691,99.710022,103.504517,101.494873,3447604
